filename,index,IoU,F1,Precision,Recall,thr
028_image.png,MGRVI,,,,,166
029_image.png,VARI,,,,,201
029_image.png,ExG,,,,,164
029_image.png,MGRVI,,,,,167
030_image.png,VARI,,,,,192
030_image.png,ExG,,,,,161
030_image.png,MGRVI,,,,,147
031_image.png,VARI,,,,,215
031_image.png,ExG,,,,,167
031_image.png,MGRVI,,,,,175
032_image.png,VARI,,,,,207
032_image.png,ExG,,,,,166
032_image.png,MGRVI,,,,,169
033_image.png,VARI,,,,,209
033_image.png,ExG,,,,,164
033_image.png,MGRVI,,,,,170
034_image.png,VARI,,,,,209
034_image.png,ExG,,,,,164
034_image.png,MGRVI,,,,,165
035_image.png,VARI,,,,,196
035_image.png,ExG,,,,,151
035_image.png,MGRVI,,,,,165
036_image.png,VARI,,,,,197
036_image.png,ExG,,,,,155
036_image.png,MGRVI,,,,,166
037_image.png,VARI,,,,,196
037_image.png,ExG,,,,,163
037_image.png,MGRVI,,,,,159
038_image.png,VARI,,,,,200
038_image.png,ExG,,,,,160
038_image.png,MGRVI,,,,,168
039_image.png,VARI,,,,,195
039_image.png,ExG,,,,,162
039_image.png,MGRVI,,,,,153
040_image.png,VARI,,,,,207
040_image.png,ExG,,,,,162
040_image.png,MGRVI,,,,,169
041_image.png,VARI,,,,,191
041_image.png,ExG,,,,,163
041_image.png,MGRVI,,,,,159
042_image.png,VARI,,,,,198
042_image.png,ExG,,,,,163
042_image.png,MGRVI,,,,,163
043_image.png,VARI,,,,,195
043_image.png,ExG,,,,,150
043_image.png,MGRVI,,,,,160
044_image.png,VARI,,,,,180
044_image.png,ExG,,,,,161
044_image.png,MGRVI,,,,,161
045_image.png,VARI,,,,,193
045_image.png,ExG,,,,,156
045_image.png,MGRVI,,,,,164
046_image.png,VARI,,,,,178
046_image.png,ExG,,,,,170
046_image.png,MGRVI,,,,,137
047_image.png,VARI,,,,,186
047_image.png,ExG,,,,,163
047_image.png,MGRVI,,,,,157
048_image.png,VARI,,,,,200
048_image.png,ExG,,,,,158
048_image.png,MGRVI,,,,,166
049_image.png,VARI,,,,,187
049_image.png,ExG,,,,,162
049_image.png,MGRVI,,,,,158
050_image.png,VARI,,,,,174
050_image.png,ExG,,,,,165
050_image.png,MGRVI,,,,,129
051_image.png,VARI,,,,,192
051_image.png,ExG,,,,,146
051_image.png,MGRVI,,,,,168
052_image.png,VARI,,,,,193
052_image.png,ExG,,,,,154
052_image.png,MGRVI,,,,,165
053_image.png,VARI,,,,,199
053_image.png,ExG,,,,,172
053_image.png,MGRVI,,,,,167
054_image.png,VARI,,,,,195
054_image.png,ExG,,,,,158
054_image.png,MGRVI,,,,,167
055_image.png,VARI,,,,,194
055_image.png,ExG,,,,,155
055_image.png,MGRVI,,,,,167
056_image.png,VARI,,,,,190
056_image.png,ExG,,,,,142
056_image.png,MGRVI,,,,,162
057_image.png,VARI,,,,,198
057_image.png,ExG,,,,,155
057_image.png,MGRVI,,,,,163
058_image.png,VARI,,,,,215
058_image.png,ExG,,,,,166
058_image.png,MGRVI,,,,,174
059_image.png,VARI,,,,,203
059_image.png,ExG,,,,,171
059_image.png,MGRVI,,,,,167
060_image.png,VARI,,,,,204
060_image.png,ExG,,,,,170
060_image.png,MGRVI,,,,,169
